index,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
54,AUS,CROPYIELD,WHEAT,TONNE_HA,2008,1.583139939,
55,AUS,CROPYIELD,WHEAT,TONNE_HA,2009,1.572942151,
56,AUS,CROPYIELD,WHEAT,TONNE_HA,2010,2.030107097,
57,AUS,CROPYIELD,WHEAT,TONNE_HA,2011,2.151108319,
58,AUS,CROPYIELD,WHEAT,TONNE_HA,2012,1.760921489,
59,AUS,CROPYIELD,WHEAT,TONNE_HA,2013,2.006071795,
60,AUS,CROPYIELD,WHEAT,TONNE_HA,2014,1.713658537,
61,AUS,CROPYIELD,WHEAT,TONNE_HA,2015,1.738671935,
62,AUS,CROPYIELD,WHEAT,TONNE_HA,2016,1.793225558,
63,AUS,CROPYIELD,WHEAT,TONNE_HA,2017,1.821027181,
64,AUS,CROPYIELD,WHEAT,TONNE_HA,2018,1.840572948,
65,AUS,CROPYIELD,WHEAT,TONNE_HA,2019,1.85373912,
66,AUS,CROPYIELD,WHEAT,TONNE_HA,2020,1.868587536,
67,AUS,CROPYIELD,WHEAT,TONNE_HA,2021,1.882219973,
68,AUS,CROPYIELD,WHEAT,TONNE_HA,2022,1.8968633,
69,AUS,CROPYIELD,WHEAT,TONNE_HA,2023,1.91149436,
70,AUS,CROPYIELD,WHEAT,TONNE_HA,2024,1.926269137,
71,AUS,CROPYIELD,WHEAT,TONNE_HA,2025,1.941559135,
449,TUR,CROPYIELD,WHEAT,TONNE_HA,2007,2.128179789,
450,TUR,CROPYIELD,WHEAT,TONNE_HA,2008,2.198887587,
451,TUR,CROPYIELD,WHEAT,TONNE_HA,2009,2.543209791,
452,TUR,CROPYIELD,WHEAT,TONNE_HA,2010,2.427989721,
453,TUR,CROPYIELD,WHEAT,TONNE_HA,2011,2.69268775,
454,TUR,CROPYIELD,WHEAT,TONNE_HA,2012,2.669322729,
455,TUR,CROPYIELD,WHEAT,TONNE_HA,2013,2.83674264,
456,TUR,CROPYIELD,WHEAT,TONNE_HA,2014,2.399292946,
457,TUR,CROPYIELD,WHEAT,TONNE_HA,2015,2.86649251,
458,TUR,CROPYIELD,WHEAT,TONNE_HA,2016,2.906470361,
459,TUR,CROPYIELD,WHEAT,TONNE_HA,2017,2.949651428,
460,TUR,CROPYIELD,WHEAT,TONNE_HA,2018,2.990326826,
461,TUR,CROPYIELD,WHEAT,TONNE_HA,2019,3.029134383,
462,TUR,CROPYIELD,WHEAT,TONNE_HA,2020,3.070152091,
463,TUR,CROPYIELD,WHEAT,TONNE_HA,2021,3.112283643,
464,TUR,CROPYIELD,WHEAT,TONNE_HA,2022,3.15548948,
465,TUR,CROPYIELD,WHEAT,TONNE_HA,2023,3.199258541,
466,TUR,CROPYIELD,WHEAT,TONNE_HA,2024,3.243563793,
467,TUR,CROPYIELD,WHEAT,TONNE_HA,2025,3.28867174,
525,USA,CROPYIELD,WHEAT,TONNE_HA,2011,2.941722057,
526,USA,CROPYIELD,WHEAT,TONNE_HA,2012,3.103513272,
527,USA,CROPYIELD,WHEAT,TONNE_HA,2013,3.169601911,
528,USA,CROPYIELD,WHEAT,TONNE_HA,2014,2.936476321,
529,USA,CROPYIELD,WHEAT,TONNE_HA,2015,2.929958655,
530,USA,CROPYIELD,WHEAT,TONNE_HA,2016,3.085502638,
531,USA,CROPYIELD,WHEAT,TONNE_HA,2017,3.11453598,
532,USA,CROPYIELD,WHEAT,TONNE_HA,2018,3.139950531,
533,USA,CROPYIELD,WHEAT,TONNE_HA,2019,3.162262841,
534,USA,CROPYIELD,WHEAT,TONNE_HA,2020,3.18550663,
535,USA,CROPYIELD,WHEAT,TONNE_HA,2021,3.207878544,
536,USA,CROPYIELD,WHEAT,TONNE_HA,2022,3.230800797,
537,USA,CROPYIELD,WHEAT,TONNE_HA,2023,3.253665356,
538,USA,CROPYIELD,WHEAT,TONNE_HA,2024,3.284317191,
539,USA,CROPYIELD,WHEAT,TONNE_HA,2025,3.299785191,
599,DZA,CROPYIELD,WHEAT,TONNE_HA,2013,1.677681804,
600,DZA,CROPYIELD,WHEAT,TONNE_HA,2014,1,
601,DZA,CROPYIELD,WHEAT,TONNE_HA,2015,1.200000048,
602,DZA,CROPYIELD,WHEAT,TONNE_HA,2016,1.225200048,
603,DZA,CROPYIELD,WHEAT,TONNE_HA,2017,1.251656045,
604,DZA,CROPYIELD,WHEAT,TONNE_HA,2018,1.277761017,
605,DZA,CROPYIELD,WHEAT,TONNE_HA,2019,1.30330453,
606,DZA,CROPYIELD,WHEAT,TONNE_HA,2020,1.330062253,
607,DZA,CROPYIELD,WHEAT,TONNE_HA,2021,1.357617175,
608,DZA,CROPYIELD,WHEAT,TONNE_HA,2022,1.385951369,
609,DZA,CROPYIELD,WHEAT,TONNE_HA,2023,1.414879048,
610,DZA,CROPYIELD,WHEAT,TONNE_HA,2024,1.4443745,
611,DZA,CROPYIELD,WHEAT,TONNE_HA,2025,1.474583225,
